condition,tone_hz,puppet,hostname,device,band_125_db,band_250_db,band_500_db,band_750_db,band_1000_db,band_1500_db,band_2000_db,band_4000_db,band_8000_db,broadband_db,n_frames,duration_s
quiet,,P1,Puppet-1,"plughw:1,0",-60.91,-72.36,-77.83,-81.03,-83.51,-84.75,-87.73,-89.39,-88.79,-52.85,259,6.0
quiet,,P2,Puppet-2,"plughw:1,0",-60.24,-73.21,-78.21,-81.33,-83.85,-84.82,-87.75,-89.53,-90.56,-53.0,258,6.0
quiet,,P3,Puppet-3,"plughw:1,0",-60.35,-73.87,-79.14,-82.09,-84.39,-85.2,-88.49,-89.41,-90.28,-53.07,259,6.0
quiet,,P4,Puppet-4,"plughw:1,0",-58.06,-71.39,-77.3,-80.37,-82.99,-83.66,-86.9,-89.48,-86.61,-50.44,259,6.0
hvac,,P1,Puppet-1,"plughw:1,0",-52.6,-64.2,-68.21,-68.47,-72.75,-72.17,-80.66,-86.1,-87.75,-46.23,259,6.0
hvac,,P2,Puppet-2,"plughw:1,0",-41.04,-54.57,-61.89,-64.16,-69.84,-69.25,-79.78,-85.78,-90.12,-35.37,259,6.0
hvac,,P3,Puppet-3,"plughw:1,0",-32.91,-47.61,-58.08,-63.96,-69.05,-68.34,-80.92,-86.87,-89.6,-26.35,258,6.0
hvac,,P4,Puppet-4,"plughw:1,0",-34.1,-53.78,-61.23,-63.23,-67.44,-65.21,-76.57,-85.43,-86.4,-27.65,259,6.0
music,,P1,Puppet-1,"plughw:1,0",-47.5,-52.51,-59.72,-62.32,-67.66,-62.01,-61.28,-64.79,-80.64,-40.19,259,6.0
music,,P2,Puppet-2,"plughw:1,0",-39.75,-49.77,-56.6,-59.79,-65.86,-61.16,-60.2,-63.77,-80.4,-33.85,259,6.0
music,,P3,Puppet-3,"plughw:1,0",-31.25,-45.22,-55.12,-59.44,-64.45,-62.6,-61.42,-64.48,-78.72,-25.0,259,6.0
music,,P4,Puppet-4,"plughw:1,0",-34.19,-49.11,-56.51,-58.41,-62.12,-58.95,-59.18,-63.72,-81.34,-27.17,259,6.0
tone,125,P1,Puppet-1,"plughw:1,0",-21.85,-60.23,-69.26,-68.91,-72.69,-71.72,-80.37,-83.92,-87.4,-21.33,259,6.0
tone,125,P2,Puppet-2,"plughw:1,0",-20.76,-54.14,-62.46,-64.32,-69.94,-68.98,-79.44,-83.32,-89.72,-20.13,259,6.0
tone,125,P3,Puppet-3,"plughw:1,0",-20.93,-46.92,-58.58,-64.02,-68.91,-68.55,-80.68,-84.05,-89.25,-19.42,259,6.0
tone,125,P4,Puppet-4,"plughw:1,0",-20.21,-52.89,-61.79,-63.59,-67.67,-65.74,-76.67,-83.19,-86.24,-19.06,259,6.0
tone,250,P1,Puppet-1,"plughw:1,0",-49.96,-26.36,-67.86,-67.39,-73.19,-72.19,-80.92,-86.14,-87.66,-23.34,259,6.0
tone,250,P2,Puppet-2,"plughw:1,0",-40.4,-25.32,-61.21,-63.54,-70.23,-69.24,-80.11,-85.8,-90.21,-22.08,258,6.0
tone,250,P3,Puppet-3,"plughw:1,0",-32.27,-25.81,-58.3,-63.53,-69.38,-68.63,-81.32,-86.97,-89.66,-20.85,258,6.0
tone,250,P4,Puppet-4,"plughw:1,0",-33.54,-24.77,-61.29,-62.57,-67.68,-65.8,-76.99,-85.59,-86.84,-20.72,259,6.0
tone,500,P1,Puppet-1,"plughw:1,0",-52.51,-61.88,-26.82,-65.82,-72.85,-70.55,-81.19,-86.29,-87.63,-20.63,259,6.0
tone,500,P2,Puppet-2,"plughw:1,0",-41.57,-54.07,-26.54,-62.97,-70.13,-68.66,-80.24,-85.84,-90.23,-20.23,258,6.0
tone,500,P3,Puppet-3,"plughw:1,0",-32.72,-47.56,-27.81,-62.96,-69.53,-68.43,-81.15,-87.5,-90.69,-20.14,259,6.0
tone,500,P4,Puppet-4,"plughw:1,0",-34.74,-53.19,-27.48,-62.49,-67.9,-65.41,-76.77,-85.61,-86.48,-20.37,259,6.0
tone,750,P1,Puppet-1,"plughw:1,0",-52.97,-64.07,-63.52,-24.17,-67.11,-70.6,-80.85,-86.38,-87.8,-18.0,259,6.0
tone,750,P2,Puppet-2,"plughw:1,0",-41.01,-54.32,-59.74,-23.85,-65.94,-67.97,-79.91,-85.83,-90.36,-17.6,259,6.0
tone,750,P3,Puppet-3,"plughw:1,0",-32.89,-47.5,-57.36,-25.02,-66.07,-67.64,-81.02,-87.1,-89.95,-18.09,259,6.0
tone,750,P4,Puppet-4,"plughw:1,0",-34.26,-53.96,-59.79,-24.51,-65.21,-65.12,-76.52,-85.77,-86.66,-17.83,259,6.0
tone,1000,P1,Puppet-1,"plughw:1,0",-52.5,-64.43,-69.16,-66.69,-34.28,-72.03,-78.97,-85.34,-87.59,-25.51,259,6.0
tone,1000,P2,Puppet-2,"plughw:1,0",-40.82,-54.48,-61.74,-62.45,-30.32,-68.79,-78.01,-85.26,-90.12,-21.39,258,6.0
tone,1000,P3,Puppet-3,"plughw:1,0",-31.75,-47.1,-58.52,-62.06,-29.38,-67.97,-79.88,-86.6,-90.2,-19.32,258,6.0
tone,1000,P4,Puppet-4,"plughw:1,0",-33.83,-53.76,-61.41,-60.59,-27.41,-65.24,-76.49,-85.19,-86.48,-18.1,259,6.0
tone,1500,P1,Puppet-1,"plughw:1,0",-52.23,-64.19,-69.09,-68.64,-73.57,-43.51,-80.69,-86.27,-87.83,-31.29,259,6.0
tone,1500,P2,Puppet-2,"plughw:1,0",-41.42,-54.18,-61.97,-64.08,-70.52,-46.54,-80.01,-85.13,-90.18,-31.93,259,6.0
tone,1500,P3,Puppet-3,"plughw:1,0",-31.91,-47.1,-58.22,-64.2,-69.73,-37.88,-80.79,-86.15,-89.89,-22.33,259,6.0
tone,1500,P4,Puppet-4,"plughw:1,0",-33.68,-53.58,-61.46,-63.48,-68.23,-32.64,-76.77,-84.35,-86.45,-19.7,259,6.0
tone,2000,P1,Puppet-1,"plughw:1,0",-52.82,-64.66,-69.06,-68.79,-72.87,-71.64,-41.18,-85.29,-87.38,-22.82,259,6.0
tone,2000,P2,Puppet-2,"plughw:1,0",-41.14,-54.47,-62.25,-63.87,-70.07,-67.97,-34.2,-84.9,-90.27,-15.78,259,6.0
tone,2000,P3,Puppet-3,"plughw:1,0",-32.15,-46.66,-57.72,-63.8,-69.49,-67.72,-36.46,-85.77,-89.27,-17.28,259,6.0
tone,2000,P4,Puppet-4,"plughw:1,0",-33.92,-53.41,-61.2,-63.23,-67.93,-65.48,-38.14,-85.3,-86.38,-19.05,259,6.0
tone,4000,P1,Puppet-1,"plughw:1,0",-53.37,-64.33,-68.97,-68.68,-73.24,-72.51,-80.86,-43.6,-88.05,-17.03,259,6.0
tone,4000,P2,Puppet-2,"plughw:1,0",-41.0,-54.74,-62.01,-64.23,-70.36,-69.29,-80.21,-64.08,-89.95,-33.31,258,6.0
